,name,latitude,longitude,temperature,cloudiness,humidity,windspeed
0,airai,-8.9266,125.4092,73.89,29.0,54.0,5.32
1,tiksi,71.6872,128.8694,36.5,7.0,87.0,2.84
2,khatanga,71.9667,102.5,32.61,100.0,100.0,5.46
5,butaritari,3.0707,172.7902,81.91,100.0,77.0,16.4
6,chilia veche,45.4167,29.2833,57.49,75.0,76.0,6.51
7,kemijarvi,66.7131,27.4306,39.74,98.0,88.0,4.27
8,butaritari,3.0707,172.7902,81.91,100.0,77.0,16.4
9,butaritari,3.0707,172.7902,81.91,100.0,77.0,16.4
10,lorengau,-2.0226,147.2712,79.65,100.0,87.0,9.31
11,zhigalovo,54.8097,105.1578,55.72,100.0,50.0,2.33
12,tiksi,71.6872,128.8694,36.5,7.0,87.0,2.84
13,abnub,27.2696,31.1511,68.22,0.0,32.0,5.61
14,jijiang,29.2906,106.2542,68.59,100.0,95.0,5.39
15,diffa,13.3154,12.6113,83.61,30.0,11.0,8.79
16,sur,22.5667,59.5289,96.26,0.0,35.0,5.59
17,gigmoto,13.7796,124.39,86.23,42.0,69.0,4.29
18,zhigansk,66.7697,123.3711,57.72,100.0,49.0,2.3
19,kavieng,-2.5744,150.7967,80.74,100.0,83.0,6.31
20,katsuura,35.1333,140.3,74.77,100.0,75.0,15.82
21,oga,46.4631,10.347,31.15,10.0,74.0,3.29
22,dikson,73.5069,80.5464,27.01,25.0,83.0,10.25
23,severo-kurilsk,50.6789,156.125,37.92,100.0,98.0,13.96
25,butaritari,3.0707,172.7902,81.91,100.0,77.0,16.4
26,butaritari,3.0707,172.7902,81.91,100.0,77.0,16.4
27,nikolskoye,59.7035,30.7861,47.21,95.0,77.0,8.86
28,ipswich,52.0592,1.1555,43.7,8.0,88.0,8.52
29,leh,34.1667,77.5833,44.51,80.0,44.0,0.4
30,arzgir,45.3728,44.2206,63.37,100.0,79.0,11.36
31,faya,18.3851,42.4509,63.12,11.0,29.0,8.72
32,udachnyy,66.4167,112.4,54.16,34.0,45.0,7.23
34,khani,41.9563,42.9566,51.37,11.0,84.0,1.3
35,san policarpo,12.1791,125.5072,85.17,88.0,69.0,6.62
36,bozoum,6.3193,16.3799,70.07,80.0,83.0,4.25
38,zyryanka,65.75,150.85,51.75,100.0,54.0,3.62
39,nikolskoye,59.7035,30.7861,47.21,95.0,77.0,8.86
40,lithakia,37.7167,20.8333,56.57,31.0,73.0,7.58
41,bilibino,68.0546,166.4372,49.91,100.0,56.0,8.34
42,gornopravdinsk,60.05,69.9,55.85,100.0,85.0,4.07
43,neustrelitz,53.3667,13.0833,47.91,92.0,94.0,11.99
44,port blair,11.6667,92.75,84.85,88.0,80.0,21.54
45,kamyshevatskaya,46.4132,37.9563,65.14,0.0,76.0,7.61
46,svobodnyy,51.4,128.1333,57.06,46.0,45.0,10.02
47,rudnogorsk,57.2639,103.7519,51.55,92.0,34.0,9.98
48,sawakin,19.1059,37.3321,83.79,4.0,65.0,5.48
49,saskylakh,71.9167,114.0833,47.17,99.0,82.0,4.43
50,yangliuqing,39.1375,116.9997,75.15,28.0,17.0,12.75
51,sur,22.5667,59.5289,96.26,0.0,35.0,5.59
52,autun,46.95,4.3,48.9,80.0,91.0,7.05
53,butaritari,3.0707,172.7902,81.91,100.0,77.0,16.4
54,bandarbeyla,9.4942,50.8122,81.82,100.0,65.0,22.7
55,kajaani,64.2273,27.7285,44.65,0.0,87.0,5.75
56,gueret,46.1667,1.8667,42.51,79.0,95.0,8.03
57,wad madani,14.4012,33.5199,87.53,68.0,12.0,7.29
58,zapolyarnyy,69.4154,30.8136,34.88,49.0,78.0,5.37
59,imperia,43.9667,7.7833,47.57,0.0,85.0,5.48
60,khani,41.9563,42.9566,51.37,11.0,84.0,1.3
61,nikolskoye,59.7035,30.7861,47.21,95.0,77.0,8.86
62,longyearbyen,78.2186,15.6401,30.04,75.0,74.0,10.36
63,aksarka,66.5606,67.7975,37.33,100.0,73.0,14.45
64,zhigansk,66.7697,123.3711,57.72,100.0,49.0,2.3
66,pevek,69.7008,170.3133,33.24,100.0,87.0,2.82
67,kamenka,51.3223,42.7678,60.1,43.0,69.0,7.27
68,pevek,69.7008,170.3133,33.24,100.0,87.0,2.82
70,myanaung,18.2833,95.3167,84.45,97.0,72.0,12.86
71,sur,22.5667,59.5289,96.26,0.0,35.0,5.59
72,itoman,26.1247,127.6694,86.02,20.0,79.0,13.8
73,saskylakh,71.9167,114.0833,47.17,99.0,82.0,4.43
74,pudozh,61.8099,36.5345,41.72,100.0,63.0,5.53
75,udachnyy,66.4167,112.4,54.16,34.0,45.0,7.23
76,puri,19.8,85.85,77.52,100.0,74.0,27.76
77,pasighat,28.0667,95.3333,79.7,100.0,84.0,3.56
78,merke,42.8728,73.1786,78.3,78.0,38.0,5.23
79,verkhoyansk,67.5447,133.385,65.44,72.0,19.0,8.97
80,shimoda,34.6667,138.95,71.96,97.0,54.0,5.88
81,cherskiy,68.75,161.3,63.84,19.0,34.0,14.94
82,zyryanka,65.75,150.85,51.75,100.0,54.0,3.62
83,ingraj bazar,25.0,88.15,83.98,100.0,69.0,23.09
84,victoria,22.2855,114.1577,87.4,20.0,81.0,1.99
85,yarada,17.65,83.2667,91.72,75.0,38.0,15.88
86,port blair,11.6667,92.75,84.85,88.0,80.0,21.54
87,soligalich,59.0778,42.2864,44.46,79.0,71.0,6.11
88,nikolskoye,59.7035,30.7861,47.21,95.0,77.0,8.86
89,oktyabrskiy,54.4815,53.471,58.75,27.0,67.0,9.55
90,fukue,32.6881,128.8419,68.36,0.0,73.0,6.91
91,pyshma,56.9523,63.2513,62.89,46.0,68.0,19.66
92,airai,-8.9266,125.4092,73.89,29.0,54.0,5.32
94,bac lieu,9.285,105.7244,77.7,100.0,90.0,15.37
96,chara,56.9064,118.2631,51.15,95.0,50.0,3.89
97,port blair,11.6667,92.75,84.85,88.0,80.0,21.54
98,severo-kurilsk,50.6789,156.125,37.92,100.0,98.0,13.96
99,muscat,23.6139,58.5922,102.22,0.0,38.0,5.14
100,jiuquan,39.7432,98.5174,75.34,2.0,13.0,2.26
101,ostrovnoy,68.0531,39.5131,36.1,11.0,64.0,6.11
102,xuanwu,32.069,118.8138,66.15,100.0,92.0,5.95
